"id","is_oreb","team","opponent","conference","opp_conference"
"1-48",0,"Auburn","George Mason","SEC","Atlantic 10"
"1-49",1,"George Mason","Auburn","Atlantic 10","SEC"
"1-50",1,"Auburn","George Mason","SEC","Atlantic 10"
"1-51",1,"Auburn","George Mason","SEC","Atlantic 10"
"1-52",0,"George Mason","Auburn","Atlantic 10","SEC"
"1-53",0,"Auburn","George Mason","SEC","Atlantic 10"
"1-55",0,"George Mason","Auburn","Atlantic 10","SEC"
"1-57",0,"Auburn","George Mason","SEC","Atlantic 10"
"1-59",1,"Auburn","George Mason","SEC","Atlantic 10"
"1-60",0,"Auburn","George Mason","SEC","Atlantic 10"
"1-61",0,"Auburn","George Mason","SEC","Atlantic 10"
"1-62",0,"George Mason","Auburn","Atlantic 10","SEC"
"1-63",1,"Auburn","George Mason","SEC","Atlantic 10"
"1-65",1,"Auburn","George Mason","SEC","Atlantic 10"
"1-66",1,"George Mason","Auburn","Atlantic 10","SEC"
"2-1",1,"Florida","Stony Brook","SEC","Colonial"
"2-3",0,"Florida","Stony Brook","SEC","Colonial"
"2-4",0,"Stony Brook","Florida","Colonial","SEC"
"2-5",0,"Florida","Stony Brook","SEC","Colonial"
"2-6",0,"Stony Brook","Florida","Colonial","SEC"
"2-8",1,"Florida","Stony Brook","SEC","Colonial"
"2-9",0,"Stony Brook","Florida","Colonial","SEC"
"2-10",0,"Florida","Stony Brook","SEC","Colonial"
"2-12",0,"Stony Brook","Florida","Colonial","SEC"
"2-14",0,"Stony Brook","Florida","Colonial","SEC"
"2-18",1,"Florida","Stony Brook","SEC","Colonial"
"2-19",0,"Stony Brook","Florida","Colonial","SEC"
"2-20",0,"Stony Brook","Florida","Colonial","SEC"
"2-22",0,"Stony Brook","Florida","Colonial","SEC"
"2-27",0,"Florida","Stony Brook","SEC","Colonial"
"2-28",1,"Florida","Stony Brook","SEC","Colonial"
"2-29",0,"Florida","Stony Brook","SEC","Colonial"
"2-30",0,"Stony Brook","Florida","Colonial","SEC"
"2-32",0,"Stony Brook","Florida","Colonial","SEC"
"2-34",1,"Florida","Stony Brook","SEC","Colonial"
"2-36",0,"Stony Brook","Florida","Colonial","SEC"
"2-37",0,"Stony Brook","Florida","Colonial","SEC"
"2-38",0,"Stony Brook","Florida","Colonial","SEC"
"2-39",1,"Florida","Stony Brook","SEC","Colonial"
"2-40",0,"Florida","Stony Brook","SEC","Colonial"
"2-41",0,"Stony Brook","Florida","Colonial","SEC"
"2-43",0,"Stony Brook","Florida","Colonial","SEC"
"2-44",1,"Florida","Stony Brook","SEC","Colonial"
"2-45",0,"Stony Brook","Florida","Colonial","SEC"
"2-46",1,"Stony Brook","Florida","Colonial","SEC"
"2-48",0,"Florida","Stony Brook","SEC","Colonial"
"2-49",0,"Stony Brook","Florida","Colonial","SEC"
"2-51",0,"Florida","Stony Brook","SEC","Colonial"
"2-53",0,"Florida","Stony Brook","SEC","Colonial"
"2-54",1,"Stony Brook","Florida","Colonial","SEC"
"2-56",1,"Florida","Stony Brook","SEC","Colonial"
"2-57",0,"Florida","Stony Brook","SEC","Colonial"
"2-58",0,"Stony Brook","Florida","Colonial","SEC"
"2-59",1,"Florida","Stony Brook","SEC","Colonial"
"3-1",0,"UNLV","Southern","MWC","SWAC"
"3-5",0,"Southern","UNLV","SWAC","MWC"
"3-6",1,"UNLV","Southern","MWC","SWAC"
"3-7",0,"UNLV","Southern","MWC","SWAC"
"3-10",0,"Southern","UNLV","SWAC","MWC"
"3-12",1,"Southern","UNLV","SWAC","MWC"
"3-16",0,"UNLV","Southern","MWC","SWAC"
"3-17",0,"Southern","UNLV","SWAC","MWC"
"3-18",0,"Southern","UNLV","SWAC","MWC"
"3-19",0,"UNLV","Southern","MWC","SWAC"
"3-20",0,"Southern","UNLV","SWAC","MWC"
"3-21",0,"UNLV","Southern","MWC","SWAC"
"3-22",0,"Southern","UNLV","SWAC","MWC"
"3-25",0,"UNLV","Southern","MWC","SWAC"
"3-27",0,"UNLV","Southern","MWC","SWAC"
"3-28",0,"Southern","UNLV","SWAC","MWC"
"3-29",0,"UNLV","Southern","MWC","SWAC"
"3-30",1,"Southern","UNLV","SWAC","MWC"
"3-31",0,"Southern","UNLV","SWAC","MWC"
"3-32",0,"UNLV","Southern","MWC","SWAC"
"3-33",0,"UNLV","Southern","MWC","SWAC"
"3-34",0,"Southern","UNLV","SWAC","MWC"
"3-35",1,"Southern","UNLV","SWAC","MWC"
"3-39",0,"UNLV","Southern","MWC","SWAC"
"3-40",0,"Southern","UNLV","SWAC","MWC"
"3-41",1,"UNLV","Southern","MWC","SWAC"
"3-42",0,"UNLV","Southern","MWC","SWAC"
"3-44",0,"Southern","UNLV","SWAC","MWC"
"3-46",0,"Southern","UNLV","SWAC","MWC"
"3-47",0,"UNLV","Southern","MWC","SWAC"
"3-49",0,"UNLV","Southern","MWC","SWAC"
"3-51",0,"UNLV","Southern","MWC","SWAC"
"3-52",0,"UNLV","Southern","MWC","SWAC"
"3-53",0,"UNLV","Southern","MWC","SWAC"
"3-54",1,"Southern","UNLV","SWAC","MWC"
"3-56",0,"Southern","UNLV","SWAC","MWC"
"3-57",0,"Southern","UNLV","SWAC","MWC"
"4-1",1,"Auburn","South Florida","SEC","American Athletic Conference"
"4-2",1,"South Florida","Auburn","American Athletic Conference","SEC"
"4-4",0,"Auburn","South Florida","SEC","American Athletic Conference"
"4-5",0,"South Florida","Auburn","American Athletic Conference","SEC"
"4-6",0,"Auburn","South Florida","SEC","American Athletic Conference"
"4-7",1,"South Florida","Auburn","American Athletic Conference","SEC"
"4-8",1,"South Florida","Auburn","American Athletic Conference","SEC"
"4-9",0,"South Florida","Auburn","American Athletic Conference","SEC"
"4-10",1,"Auburn","South Florida","SEC","American Athletic Conference"
"4-11",0,"South Florida","Auburn","American Athletic Conference","SEC"
"4-12",1,"Auburn","South Florida","SEC","American Athletic Conference"
"4-13",0,"Auburn","South Florida","SEC","American Athletic Conference"
"4-14",0,"South Florida","Auburn","American Athletic Conference","SEC"
"4-15",0,"South Florida","Auburn","American Athletic Conference","SEC"
"4-16",0,"Auburn","South Florida","SEC","American Athletic Conference"
"4-17",0,"Auburn","South Florida","SEC","American Athletic Conference"
"4-18",0,"South Florida","Auburn","American Athletic Conference","SEC"
"4-19",0,"Auburn","South Florida","SEC","American Athletic Conference"
"4-20",0,"Auburn","South Florida","SEC","American Athletic Conference"
"4-21",1,"South Florida","Auburn","American Athletic Conference","SEC"
"4-22",1,"Auburn","South Florida","SEC","American Athletic Conference"
"4-23",0,"South Florida","Auburn","American Athletic Conference","SEC"
"4-24",0,"Auburn","South Florida","SEC","American Athletic Conference"
"4-25",1,"South Florida","Auburn","American Athletic Conference","SEC"
"4-26",0,"Auburn","South Florida","SEC","American Athletic Conference"
"4-27",0,"South Florida","Auburn","American Athletic Conference","SEC"
"4-29",0,"Auburn","South Florida","SEC","American Athletic Conference"
"4-30",0,"South Florida","Auburn","American Athletic Conference","SEC"
"4-31",1,"South Florida","Auburn","American Athletic Conference","SEC"
"4-33",0,"South Florida","Auburn","American Athletic Conference","SEC"
"4-34",1,"Auburn","South Florida","SEC","American Athletic Conference"
"4-36",1,"Auburn","South Florida","SEC","American Athletic Conference"
"4-38",1,"Auburn","South Florida","SEC","American Athletic Conference"
"4-40",1,"South Florida","Auburn","American Athletic Conference","SEC"
"4-41",1,"South Florida","Auburn","American Athletic Conference","SEC"
"4-42",0,"South Florida","Auburn","American Athletic Conference","SEC"
"4-43",0,"South Florida","Auburn","American Athletic Conference","SEC"
"4-45",0,"Auburn","South Florida","SEC","American Athletic Conference"
"4-46",1,"South Florida","Auburn","American Athletic Conference","SEC"
"4-48",1,"Auburn","South Florida","SEC","American Athletic Conference"
"4-49",1,"South Florida","Auburn","American Athletic Conference","SEC"
"4-50",1,"Auburn","South Florida","SEC","American Athletic Conference"
"4-52",0,"South Florida","Auburn","American Athletic Conference","SEC"
"4-55",1,"South Florida","Auburn","American Athletic Conference","SEC"
"4-56",0,"Auburn","South Florida","SEC","American Athletic Conference"
"4-58",1,"South Florida","Auburn","American Athletic Conference","SEC"
"4-59",0,"South Florida","Auburn","American Athletic Conference","SEC"
"5-6",0,"Kennesaw St.","Florida","Atlantic Sun","SEC"
"5-7",0,"Florida","Kennesaw St.","SEC","Atlantic Sun"
"5-8",0,"Florida","Kennesaw St.","SEC","Atlantic Sun"
"5-10",0,"Florida","Kennesaw St.","SEC","Atlantic Sun"
"5-11",0,"Kennesaw St.","Florida","Atlantic Sun","SEC"
"5-12",1,"Florida","Kennesaw St.","SEC","Atlantic Sun"
"5-13",0,"Kennesaw St.","Florida","Atlantic Sun","SEC"
"5-14",0,"Florida","Kennesaw St.","SEC","Atlantic Sun"
"5-15",0,"Kennesaw St.","Florida","Atlantic Sun","SEC"
"5-16",0,"Kennesaw St.","Florida","Atlantic Sun","SEC"
"5-20",0,"Florida","Kennesaw St.","SEC","Atlantic Sun"
"5-22",0,"Kennesaw St.","Florida","Atlantic Sun","SEC"
"5-24",0,"Kennesaw St.","Florida","Atlantic Sun","SEC"
"5-25",0,"Florida","Kennesaw St.","SEC","Atlantic Sun"
"5-26",1,"Kennesaw St.","Florida","Atlantic Sun","SEC"
"5-27",0,"Kennesaw St.","Florida","Atlantic Sun","SEC"
"5-28",0,"Kennesaw St.","Florida","Atlantic Sun","SEC"
"5-29",0,"Kennesaw St.","Florida","Atlantic Sun","SEC"
"5-30",0,"Florida","Kennesaw St.","SEC","Atlantic Sun"
"5-31",1,"Kennesaw St.","Florida","Atlantic Sun","SEC"
"5-32",0,"Florida","Kennesaw St.","SEC","Atlantic Sun"
"5-33",0,"Kennesaw St.","Florida","Atlantic Sun","SEC"
"5-35",0,"Kennesaw St.","Florida","Atlantic Sun","SEC"
"5-36",0,"Kennesaw St.","Florida","Atlantic Sun","SEC"
"5-37",0,"Florida","Kennesaw St.","SEC","Atlantic Sun"
"5-39",0,"Florida","Kennesaw St.","SEC","Atlantic Sun"
"5-40",1,"Kennesaw St.","Florida","Atlantic Sun","SEC"
"5-43",0,"Florida","Kennesaw St.","SEC","Atlantic Sun"
"5-44",1,"Florida","Kennesaw St.","SEC","Atlantic Sun"
"5-46",0,"Kennesaw St.","Florida","Atlantic Sun","SEC"
"5-47",1,"Florida","Kennesaw St.","SEC","Atlantic Sun"
"5-48",0,"Florida","Kennesaw St.","SEC","Atlantic Sun"
"5-49",0,"Kennesaw St.","Florida","Atlantic Sun","SEC"
"5-50",0,"Florida","Kennesaw St.","SEC","Atlantic Sun"
"5-51",0,"Kennesaw St.","Florida","Atlantic Sun","SEC"
"5-52",0,"Kennesaw St.","Florida","Atlantic Sun","SEC"
"5-53",1,"Kennesaw St.","Florida","Atlantic Sun","SEC"
"6-2",0,"UNLV","Incarnate Word","MWC","SouthLand"
"6-4",0,"Incarnate Word","UNLV","SouthLand","MWC"
"6-7",0,"Incarnate Word","UNLV","SouthLand","MWC"
"6-8",0,"UNLV","Incarnate Word","MWC","SouthLand"
"6-9",0,"UNLV","Incarnate Word","MWC","SouthLand"
"6-10",1,"Incarnate Word","UNLV","SouthLand","MWC"
"6-11",0,"Incarnate Word","UNLV","SouthLand","MWC"
"6-15",1,"Incarnate Word","UNLV","SouthLand","MWC"
"6-18",1,"UNLV","Incarnate Word","MWC","SouthLand"
"6-19",0,"Incarnate Word","UNLV","SouthLand","MWC"
"6-20",1,"UNLV","Incarnate Word","MWC","SouthLand"
"6-21",0,"UNLV","Incarnate Word","MWC","SouthLand"
"6-22",1,"Incarnate Word","UNLV","SouthLand","MWC"
"6-23",1,"Incarnate Word","UNLV","SouthLand","MWC"
"6-24",1,"Incarnate Word","UNLV","SouthLand","MWC"
"6-26",1,"Incarnate Word","UNLV","SouthLand","MWC"
"6-27",0,"Incarnate Word","UNLV","SouthLand","MWC"
"6-28",0,"Incarnate Word","UNLV","SouthLand","MWC"
"6-29",0,"Incarnate Word","UNLV","SouthLand","MWC"
"6-30",0,"UNLV","Incarnate Word","MWC","SouthLand"
"6-31",0,"UNLV","Incarnate Word","MWC","SouthLand"
"6-32",0,"Incarnate Word","UNLV","SouthLand","MWC"
"6-33",0,"Incarnate Word","UNLV","SouthLand","MWC"
"6-34",1,"UNLV","Incarnate Word","MWC","SouthLand"
"6-36",0,"Incarnate Word","UNLV","SouthLand","MWC"
"6-40",0,"UNLV","Incarnate Word","MWC","SouthLand"
"6-41",0,"Incarnate Word","UNLV","SouthLand","MWC"
"6-42",0,"UNLV","Incarnate Word","MWC","SouthLand"
"6-43",0,"Incarnate Word","UNLV","SouthLand","MWC"
"6-44",0,"UNLV","Incarnate Word","MWC","SouthLand"
"6-45",1,"Incarnate Word","UNLV","SouthLand","MWC"
"6-46",1,"UNLV","Incarnate Word","MWC","SouthLand"
"6-47",1,"UNLV","Incarnate Word","MWC","SouthLand"
"6-48",0,"Incarnate Word","UNLV","SouthLand","MWC"
"6-49",0,"Incarnate Word","UNLV","SouthLand","MWC"
"6-50",1,"UNLV","Incarnate Word","MWC","SouthLand"
"6-51",0,"UNLV","Incarnate Word","MWC","SouthLand"
"6-52",0,"Incarnate Word","UNLV","SouthLand","MWC"
"6-54",1,"UNLV","Incarnate Word","MWC","SouthLand"
"6-55",1,"UNLV","Incarnate Word","MWC","SouthLand"
"7-2",0,"Florida","Florida Atlantic","SEC","Conference USA"
"7-5",0,"Florida Atlantic","Florida","Conference USA","SEC"
"7-6",1,"Florida","Florida Atlantic","SEC","Conference USA"
"7-7",1,"Florida","Florida Atlantic","SEC","Conference USA"
"7-10",0,"Florida Atlantic","Florida","Conference USA","SEC"
"7-11",0,"Florida","Florida Atlantic","SEC","Conference USA"
"7-13",0,"Florida","Florida Atlantic","SEC","Conference USA"
"7-14",0,"Florida Atlantic","Florida","Conference USA","SEC"
"7-15",0,"Florida","Florida Atlantic","SEC","Conference USA"
"7-16",0,"Florida","Florida Atlantic","SEC","Conference USA"
"7-17",0,"Florida Atlantic","Florida","Conference USA","SEC"
"7-18",0,"Florida","Florida Atlantic","SEC","Conference USA"
"7-19",1,"Florida Atlantic","Florida","Conference USA","SEC"
"7-20",0,"Florida Atlantic","Florida","Conference USA","SEC"
"7-21",1,"Florida","Florida Atlantic","SEC","Conference USA"
"7-23",0,"Florida Atlantic","Florida","Conference USA","SEC"
"7-24",1,"Florida","Florida Atlantic","SEC","Conference USA"
"7-26",0,"Florida Atlantic","Florida","Conference USA","SEC"
"7-27",0,"Florida","Florida Atlantic","SEC","Conference USA"
"7-28",1,"Florida","Florida Atlantic","SEC","Conference USA"
"7-29",0,"Florida","Florida Atlantic","SEC","Conference USA"
"7-30",0,"Florida Atlantic","Florida","Conference USA","SEC"
"7-31",1,"Florida","Florida Atlantic","SEC","Conference USA"
"7-33",0,"Florida","Florida Atlantic","SEC","Conference USA"
"7-34",1,"Florida","Florida Atlantic","SEC","Conference USA"
"7-36",0,"Florida Atlantic","Florida","Conference USA","SEC"
"7-38",0,"Florida Atlantic","Florida","Conference USA","SEC"
"7-39",1,"Florida","Florida Atlantic","SEC","Conference USA"
"7-42",0,"Florida Atlantic","Florida","Conference USA","SEC"
"7-43",1,"Florida Atlantic","Florida","Conference USA","SEC"
"7-46",0,"Florida","Florida Atlantic","SEC","Conference USA"
"7-47",1,"Florida","Florida Atlantic","SEC","Conference USA"
"7-48",0,"Florida","Florida Atlantic","SEC","Conference USA"
"7-49",0,"Florida Atlantic","Florida","Conference USA","SEC"
"7-50",0,"Florida","Florida Atlantic","SEC","Conference USA"
"7-51",0,"Florida","Florida Atlantic","SEC","Conference USA"
"7-52",1,"Florida Atlantic","Florida","Conference USA","SEC"
"7-53",0,"Florida Atlantic","Florida","Conference USA","SEC"
"7-57",0,"Florida","Florida Atlantic","SEC","Conference USA"
"7-59",0,"Florida Atlantic","Florida","Conference USA","SEC"
"7-60",0,"Florida","Florida Atlantic","SEC","Conference USA"
"7-61",0,"Florida","Florida Atlantic","SEC","Conference USA"
"7-64",0,"Florida Atlantic","Florida","Conference USA","SEC"
"7-65",0,"Florida Atlantic","Florida","Conference USA","SEC"
"7-66",0,"Florida Atlantic","Florida","Conference USA","SEC"
"8-1",1,"Winthrop","Auburn","BigSouth","SEC"
"8-4",0,"Winthrop","Auburn","BigSouth","SEC"
"8-6",1,"Auburn","Winthrop","SEC","BigSouth"
"8-7",1,"Winthrop","Auburn","BigSouth","SEC"
"8-9",0,"Winthrop","Auburn","BigSouth","SEC"
"8-12",1,"Auburn","Winthrop","SEC","BigSouth"
"8-13",1,"Auburn","Winthrop","SEC","BigSouth"
"8-14",0,"Auburn","Winthrop","SEC","BigSouth"
"8-15",0,"Winthrop","Auburn","BigSouth","SEC"
"8-16",0,"Winthrop","Auburn","BigSouth","SEC"
"8-17",0,"Winthrop","Auburn","BigSouth","SEC"
"8-18",0,"Auburn","Winthrop","SEC","BigSouth"
"8-19",0,"Winthrop","Auburn","BigSouth","SEC"
"8-20",0,"Auburn","Winthrop","SEC","BigSouth"
"8-21",1,"Auburn","Winthrop","SEC","BigSouth"
"8-23",1,"Auburn","Winthrop","SEC","BigSouth"
"8-25",0,"Winthrop","Auburn","BigSouth","SEC"
"8-27",1,"Winthrop","Auburn","BigSouth","SEC"
"8-30",0,"Auburn","Winthrop","SEC","BigSouth"
"8-31",0,"Winthrop","Auburn","BigSouth","SEC"
"8-33",0,"Winthrop","Auburn","BigSouth","SEC"
"8-37",0,"Auburn","Winthrop","SEC","BigSouth"
"8-40",0,"Auburn","Winthrop","SEC","BigSouth"
"8-41",0,"Winthrop","Auburn","BigSouth","SEC"
"8-45",0,"Winthrop","Auburn","BigSouth","SEC"
"8-46",1,"Winthrop","Auburn","BigSouth","SEC"
"8-47",0,"Winthrop","Auburn","BigSouth","SEC"
"8-48",1,"Winthrop","Auburn","BigSouth","SEC"
"8-50",1,"Auburn","Winthrop","SEC","BigSouth"
"8-51",0,"Winthrop","Auburn","BigSouth","SEC"
"8-52",1,"Auburn","Winthrop","SEC","BigSouth"
"8-53",1,"Winthrop","Auburn","BigSouth","SEC"
"8-54",1,"Winthrop","Auburn","BigSouth","SEC"
"8-56",1,"Winthrop","Auburn","BigSouth","SEC"
"8-58",1,"Winthrop","Auburn","BigSouth","SEC"
"8-61",1,"Auburn","Winthrop","SEC","BigSouth"
"8-62",0,"Winthrop","Auburn","BigSouth","SEC"
"8-63",1,"Auburn","Winthrop","SEC","BigSouth"
"8-64",0,"Auburn","Winthrop","SEC","BigSouth"
"8-66",0,"Winthrop","Auburn","BigSouth","SEC"
"8-69",1,"Winthrop","Auburn","BigSouth","SEC"
"8-70",0,"Winthrop","Auburn","BigSouth","SEC"
"8-72",0,"Auburn","Winthrop","SEC","BigSouth"
"9-1",0,"UNLV","Dayton","MWC","Atlantic 10"
"9-2",0,"UNLV","Dayton","MWC","Atlantic 10"
"9-3",0,"Dayton","UNLV","Atlantic 10","MWC"
"9-4",0,"UNLV","Dayton","MWC","Atlantic 10"
"9-5",1,"Dayton","UNLV","Atlantic 10","MWC"
"9-7",1,"Dayton","UNLV","Atlantic 10","MWC"
"9-8",0,"UNLV","Dayton","MWC","Atlantic 10"
"9-10",1,"Dayton","UNLV","Atlantic 10","MWC"
"9-12",0,"Dayton","UNLV","Atlantic 10","MWC"
"9-13",1,"UNLV","Dayton","MWC","Atlantic 10"
"9-14",0,"UNLV","Dayton","MWC","Atlantic 10"
"9-15",1,"Dayton","UNLV","Atlantic 10","MWC"
"9-16",0,"UNLV","Dayton","MWC","Atlantic 10"
"9-17",0,"Dayton","UNLV","Atlantic 10","MWC"
"9-18",0,"UNLV","Dayton","MWC","Atlantic 10"
"9-19",0,"Dayton","UNLV","Atlantic 10","MWC"
"9-20",0,"UNLV","Dayton","MWC","Atlantic 10"
"9-21",0,"Dayton","UNLV","Atlantic 10","MWC"
"9-22",0,"Dayton","UNLV","Atlantic 10","MWC"
"9-23",0,"Dayton","UNLV","Atlantic 10","MWC"
"9-24",0,"UNLV","Dayton","MWC","Atlantic 10"
"9-27",0,"UNLV","Dayton","MWC","Atlantic 10"
"9-29",0,"UNLV","Dayton","MWC","Atlantic 10"
"9-30",1,"Dayton","UNLV","Atlantic 10","MWC"
"9-31",0,"UNLV","Dayton","MWC","Atlantic 10"
"9-33",0,"Dayton","UNLV","Atlantic 10","MWC"
"9-34",1,"Dayton","UNLV","Atlantic 10","MWC"
"9-36",0,"UNLV","Dayton","MWC","Atlantic 10"
"9-37",0,"UNLV","Dayton","MWC","Atlantic 10"
"9-39",1,"UNLV","Dayton","MWC","Atlantic 10"
"9-40",1,"UNLV","Dayton","MWC","Atlantic 10"
"9-44",0,"Dayton","UNLV","Atlantic 10","MWC"
"9-45",0,"UNLV","Dayton","MWC","Atlantic 10"
"9-46",0,"Dayton","UNLV","Atlantic 10","MWC"
"9-47",1,"UNLV","Dayton","MWC","Atlantic 10"
"9-50",0,"Dayton","UNLV","Atlantic 10","MWC"
"9-51",1,"UNLV","Dayton","MWC","Atlantic 10"
"9-52",1,"UNLV","Dayton","MWC","Atlantic 10"
"9-53",0,"Dayton","UNLV","Atlantic 10","MWC"
"9-54",0,"Dayton","UNLV","Atlantic 10","MWC"
"10-2",0,"Texas Southern","Auburn","SWAC","SEC"
"10-3",1,"Auburn","Texas Southern","SEC","SWAC"
"10-4",1,"Auburn","Texas Southern","SEC","SWAC"
"10-5",0,"Auburn","Texas Southern","SEC","SWAC"
"10-6",0,"Texas Southern","Auburn","SWAC","SEC"
"10-7",1,"Auburn","Texas Southern","SEC","SWAC"
"10-8",0,"Auburn","Texas Southern","SEC","SWAC"
"10-9",0,"Texas Southern","Auburn","SWAC","SEC"
"10-11",1,"Texas Southern","Auburn","SWAC","SEC"
"10-12",0,"Auburn","Texas Southern","SEC","SWAC"
"10-14",0,"Texas Southern","Auburn","SWAC","SEC"
"10-15",1,"Texas Southern","Auburn","SWAC","SEC"
"10-16",0,"Auburn","Texas Southern","SEC","SWAC"
"10-17",0,"Auburn","Texas Southern","SEC","SWAC"
"10-19",1,"Texas Southern","Auburn","SWAC","SEC"
"10-21",1,"Auburn","Texas Southern","SEC","SWAC"
"10-22",0,"Auburn","Texas Southern","SEC","SWAC"
"10-24",1,"Auburn","Texas Southern","SEC","SWAC"
"10-25",0,"Auburn","Texas Southern","SEC","SWAC"
"10-26",1,"Texas Southern","Auburn","SWAC","SEC"
"10-28",0,"Auburn","Texas Southern","SEC","SWAC"
"10-29",1,"Auburn","Texas Southern","SEC","SWAC"
"10-30",1,"Texas Southern","Auburn","SWAC","SEC"
"10-31",1,"Auburn","Texas Southern","SEC","SWAC"
"10-32",1,"Texas Southern","Auburn","SWAC","SEC"
"10-38",1,"Texas Southern","Auburn","SWAC","SEC"
"10-39",0,"Auburn","Texas Southern","SEC","SWAC"
"10-40",0,"Texas Southern","Auburn","SWAC","SEC"
"10-41",0,"Texas Southern","Auburn","SWAC","SEC"
"10-42",0,"Auburn","Texas Southern","SEC","SWAC"
"10-43",1,"Texas Southern","Auburn","SWAC","SEC"
"10-44",0,"Texas Southern","Auburn","SWAC","SEC"
"10-46",0,"Auburn","Texas Southern","SEC","SWAC"
"10-49",0,"Texas Southern","Auburn","SWAC","SEC"
"10-51",0,"Texas Southern","Auburn","SWAC","SEC"
"10-52",0,"Texas Southern","Auburn","SWAC","SEC"
"10-53",0,"Auburn","Texas Southern","SEC","SWAC"
"10-54",0,"Texas Southern","Auburn","SWAC","SEC"
"10-55",1,"Texas Southern","Auburn","SWAC","SEC"
"10-56",0,"Auburn","Texas Southern","SEC","SWAC"
"11-1",1,"High Point","UNLV","BigSouth","MWC"
"11-2",0,"High Point","UNLV","BigSouth","MWC"
"11-3",0,"High Point","UNLV","BigSouth","MWC"
"11-4",0,"High Point","UNLV","BigSouth","MWC"
"11-5",0,"UNLV","High Point","MWC","BigSouth"
"11-6",0,"UNLV","High Point","MWC","BigSouth"
"11-7",1,"UNLV","High Point","MWC","BigSouth"
"11-9",1,"High Point","UNLV","BigSouth","MWC"
"11-14",1,"UNLV","High Point","MWC","BigSouth"
"11-15",0,"UNLV","High Point","MWC","BigSouth"
"11-17",0,"UNLV","High Point","MWC","BigSouth"
"11-18",0,"High Point","UNLV","BigSouth","MWC"
"11-19",0,"UNLV","High Point","MWC","BigSouth"
"11-20",0,"UNLV","High Point","MWC","BigSouth"
"11-21",1,"UNLV","High Point","MWC","BigSouth"
"11-22",0,"High Point","UNLV","BigSouth","MWC"
"11-24",0,"UNLV","High Point","MWC","BigSouth"
"11-26",0,"High Point","UNLV","BigSouth","MWC"
"11-27",0,"UNLV","High Point","MWC","BigSouth"
"11-28",1,"UNLV","High Point","MWC","BigSouth"
"11-29",1,"UNLV","High Point","MWC","BigSouth"
"11-30",0,"UNLV","High Point","MWC","BigSouth"
"11-32",1,"High Point","UNLV","BigSouth","MWC"
"11-33",0,"High Point","UNLV","BigSouth","MWC"
"11-34",0,"High Point","UNLV","BigSouth","MWC"
"11-35",1,"High Point","UNLV","BigSouth","MWC"
"11-36",1,"UNLV","High Point","MWC","BigSouth"
"11-37",1,"UNLV","High Point","MWC","BigSouth"
"11-39",0,"High Point","UNLV","BigSouth","MWC"
"11-42",0,"High Point","UNLV","BigSouth","MWC"
"11-43",0,"UNLV","High Point","MWC","BigSouth"
"11-45",0,"UNLV","High Point","MWC","BigSouth"
"11-47",1,"High Point","UNLV","BigSouth","MWC"
"11-48",0,"High Point","UNLV","BigSouth","MWC"
"11-49",1,"High Point","UNLV","BigSouth","MWC"
